Opcode,Instruction,Operand/Extension,Section
ED E1,POP XHL,なし,4. 3バイト PUSH / POP 命令（M2モード用）
ED E2,JP.L PO,"bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED E4,CALL.L PO,"bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED E5,PUSH XHL,なし,4. 3バイト PUSH / POP 命令（M2モード用）
ED E7,JR.L P,"dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED E8,PE,なし,5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED EA,"PE, ext24","bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED EC,"PE, ext24","bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED F0,RET.L P,なし,5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED F1,POP XAF,なし,4. 3バイト PUSH / POP 命令（M2モード用）
ED F2,JP.L P,"bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED F4,CALL.L P,"bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED F5,PUSH XAF,なし,4. 3バイト PUSH / POP 命令（M2モード用）
ED F7,"M, offset16","dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED F8,M,なし,5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED FA,"M, ext24","bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED FC,"M, ext24","bl, bh, bn",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
FD ED 68 D,"LEA.L XHL, (XIY+d)",d (1B変位),6. 実効アドレス演算・スタック退避命令（PEA / LEA シリーズ）
FD ED 6A D,PEA.L (XIY+d),d (1B変位),6. 実効アドレス演算・スタック退避命令（PEA / LEA シリーズ）
